,Subject,Section,Session,FN/AN,Exam Date,Days,Start,End,Room,Instructor,Type
0,BITS     F225 - ENVIRONMENTAL STUDIES,L1-LEC (1235),1, , ,TBA,TBA, ,TBA,Judith Maria Braganca,CDC
1,MATH     F211 - MATHEMATICS III,L1-LEC (1358),1,1,"01,12,20",MoWeFr,12:00PM,1:00PM,TBA,Staff,CDC
2,MATH     F211 - MATHEMATICS III,L10-LEC (1359),1,1,"01,12,20",TuThSa,12:00PM,1:00PM,TBA,Staff,CDC
3,MATH     F211 - MATHEMATICS III,L11-LEC (1360),1,1,"01,12,20",TuThSa,12:00PM,1:00PM,TBA,Staff,CDC
4,MATH     F211 - MATHEMATICS III,L12-LEC (1361),1,1,"01,12,20",TuThSa,12:00PM,1:00PM,TBA,Staff,CDC
5,MATH     F211 - MATHEMATICS III,L2-LEC (1362),1,1,"01,12,20",MoWeFr,12:00PM,1:00PM,TBA,Staff,CDC
6,MATH     F211 - MATHEMATICS III,L3-LEC (1363),1,1,"01,12,20",MoWeFr,12:00PM,1:00PM,TBA,Staff,CDC
7,MATH     F211 - MATHEMATICS III,L4-LEC (1364),1,1,"01,12,20",MoWeFr,4:00PM,5:00PM,TBA,Manoj Kumar Pandey,CDC
8,MATH     F211 - MATHEMATICS III,L5-LEC (1365),1,1,"01,12,20",MoWeFr,4:00PM,5:00PM,TBA,Staff,CDC
9,MATH     F211 - MATHEMATICS III,L6-LEC (1366),1,1,"01,12,20",MoWeFr,4:00PM,5:00PM,TBA,Staff,CDC
10,MATH     F211 - MATHEMATICS III,L7-LEC (1367),1,1,"01,12,20",TuThSa,9:00AM,10:00AM,TBA,Staff,CDC
11,MATH     F211 - MATHEMATICS III,L8-LEC (1368),1,1,"01,12,20",TuThSa,9:00AM,10:00AM,TBA,Staff,CDC
12,MATH     F211 - MATHEMATICS III,L9-LEC (1369),1,1,"01,12,20",TuThSa,9:00AM,10:00AM,TBA,Staff,CDC
13,MATH     F211 - MATHEMATICS III,T1-TUT (1370),1, , ,Th,5:00PM,5:50PM,TBA,Staff,CDC
14,MATH     F211 - MATHEMATICS III,T10-TUT (1371),1, , ,We,5:00PM,5:50PM,TBA,Staff,CDC
15,MATH     F211 - MATHEMATICS III,T11-TUT (1372),1, , ,Th,5:00PM,5:50PM,TBA,Staff,CDC
16,MATH     F211 - MATHEMATICS III,T12-TUT (1373),1, , ,We,5:00PM,5:50PM,TBA,Staff,CDC
17,MATH     F211 - MATHEMATICS III,T2-TUT (1374),1, , ,We,5:00PM,5:50PM,TBA,Staff,CDC
18,MATH     F211 - MATHEMATICS III,T3-TUT (1375),1, , ,We,5:00PM,5:50PM,TBA,Staff,CDC
19,MATH     F211 - MATHEMATICS III,T4-TUT (1376),1, , ,Th,5:00PM,5:50PM,TBA,Staff,CDC
20,MATH     F211 - MATHEMATICS III,T5-TUT (1377),1, , ,Tu,2:00PM,3:00PM,TBA,Staff,CDC
21,MATH     F211 - MATHEMATICS III,T6-TUT (1378),1, , ,We,5:00PM,5:50PM,TBA,Staff,CDC
22,MATH     F211 - MATHEMATICS III,T7-TUT (1379),1, , ,Th,5:00PM,5:50PM,TBA,Staff,CDC
23,MATH     F211 - MATHEMATICS III,T8-TUT (1380),1, , ,We,5:00PM,5:50PM,TBA,Staff,CDC
24,MATH     F211 - MATHEMATICS III,T9-TUT (1381),1, , ,Th,5:00PM,5:50PM,TBA,Staff,CDC
25,PHY     F211 - CLASSICAL MECHANICS,L1-LEC (1140),1,9,"09,12,20",TuThSa,10:00AM,10:50AM,TBA,Toby Joseph,CDC
26,PHY     F211 - CLASSICAL MECHANICS,T1-TUT (1141),1, , ,We,5:00PM,5:50PM,TBA,Staff,CDC
27,PHY     F212 - ELECTROMAGNETIC THEO I,L1-LEC (1501),1,7,"07,12,20",Mo,9:00AM,9:50AM,TBA,Staff,CDC
28,PHY     F212 - ELECTROMAGNETIC THEO I,L2-LEC (1502),1,7,"07,12,20",Mo,9:00AM,9:50AM,TBA,Staff,CDC
29,PHY     F212 - ELECTROMAGNETIC THEO I,L3-LEC (1503),1,7,"07,12,20",Mo,9:00AM,9:50AM,TBA,Staff,CDC
30,PHY     F212 - ELECTROMAGNETIC THEO I,L4-LEC (1504),1,7,"07,12,20",Mo,9:00AM,9:50AM,TBA,Staff,CDC
31,PHY     F212 - ELECTROMAGNETIC THEO I,L5-LEC (1505),1,7,"07,12,20",Tu,9:00AM,9:50AM,TBA,Staff,CDC
32,PHY     F212 - ELECTROMAGNETIC THEO I,L6-LEC (1506),1,7,"07,12,20",Tu,9:00AM,9:50AM,TBA,Staff,CDC
33,PHY     F212 - ELECTROMAGNETIC THEO I,L7-LEC (1507),1,7,"07,12,20",Tu,9:00AM,9:50AM,TBA,Staff,CDC
34,PHY     F212 - ELECTROMAGNETIC THEO I,L8-LEC (1508),1,7,"07,12,20",Tu,9:00AM,9:50AM,TBA,Staff,CDC
35,PHY     F212 - ELECTROMAGNETIC THEO I,T1-TUT (1509),1, , ,WeFr,9:00AM,9:50AM,TBA,Raghunath Ratabole,CDC
36,PHY     F212 - ELECTROMAGNETIC THEO I,T2-TUT (1510),1, , ,We,9:00AM,9:50AM,TBA,Staff,CDC
37,PHY     F212 - ELECTROMAGNETIC THEO I,T3-TUT (1511),1, , ,Th,2:00PM,2:50PM,TBA,Staff,CDC
38,PHY     F212 - ELECTROMAGNETIC THEO I,T4-TUT (1512),1, , ,WeFr,9:00AM,9:50AM,TBA,Staff,CDC
39,PHY     F212 - ELECTROMAGNETIC THEO I,T5-TUT (1513),1, , ,WeFr,9:00AM,9:50AM,TBA,Staff,CDC
40,PHY     F212 - ELECTROMAGNETIC THEO I,T6-TUT (1514),1, , ,ThSa,9:00AM,9:50AM,TBA,Staff,CDC
41,PHY     F212 - ELECTROMAGNETIC THEO I,T7-TUT (1515),1, , ,ThSa,9:00AM,9:50AM,TBA,Staff,CDC
42,PHY     F212 - ELECTROMAGNETIC THEO I,T8-TUT (1516),1, , ,ThSa,9:00AM,9:50AM,TBA,Raghunath Ratabole,CDC
43,PHY     F213 - OPTICS,L1-LEC (1142),1,2,"02,12,20",TuThSa,12:00PM,12:50PM,TBA,Arun V Kulkarni,CDC
44,PHY     F213 - OPTICS,T1-TUT (1143),1, , ,Tu,2:00PM,2:50PM,TBA,Staff,CDC
45,PHY     F214 - ELEC MAGNET & OPTICS LAB,P1-LAB (1239),1, , ,Tu,3:00PM,5:00PM,TBA,Nanda Kumar Patincharath,CDC
46,HSS     F236 - SYMBOLIC LOGIC,L1-LEC (1675),1,12,"12,12,20",MoWeFr,2:00PM,3:00PM,TBA,Reena Cheruvalath,HEL
47,HSS     F343 - PROFESSIONAL ETHICS,L1-LEC (1672),1,2,"02,12,20",TuThSa,12:00PM,1:00PM,TBA,Reena Cheruvalath,HEL
48,HSS     F235 - INTRODUCTORY PHILOSOPHY,L1-LEC (1674),1,14,"14,12,20",MoWeFr,3:00PM,4:00PM,TBA,HAREESH A.G. .,HEL
49,GS     F211 - MOD POLITICAL CONCEPTS,L1-LEC (1517),1,12,"12,12,20",MoWeFr,2:00PM,3:00PM,TBA,Solano Da Silva,HEL
50,HSS     F222 - LINGUISTICS,L1-LEC (1669),1,14,"14,12,20",MoWeFr,3:00PM,4:00PM,TBA,Geetha K A,HEL
51,HSS     F374 - Urban Modernity and the Renewal of Paris,L1-LEC (1718),1,12,"12,12,20",MoWeFr,2:00PM,3:00PM,TBA,NILAK DATTA,HEL
52,HSS     F373 - Shakespeare and Popular Culture,L1-LEC (1732),1,8,"08,12,20",TuThSa,9:00AM,9:50AM,TBA,NILAK DATTA,HEL
53,HSS     F371 - Cities-Life Issues and Conflicts,L1-LEC (1717),1,12,"12,12,20",MoWeFr,2:00PM,3:00PM,TBA,SAYANTANI SARKAR .,HEL
54,HSS     F363 - DISASTER AND DEVELOPMENT,L1-LEC (1715),1, , ,MoWeFr,11:00AM,11:50AM,TBA,MOHAN KUMAR BERA .,HEL
55,HSS     F337 - English Literary Form and Movement,L1-LEC (1670),1,4,"04,12,20",MoWeFr,12:00PM,1:00PM,TBA,AMITENDU BHATTACHARYA,HEL
56,HSS     F233 - MAIN TRENDS IN IND HIST,L1-LEC (1671),1,11,"11,12,20",MoWeFr,4:00PM,5:00PM,TBA,LAKSHMI SUBRAMANIAN,HEL
57,HSS     F227 - CROSS CULTURAL SKILLS,L1-LEC (1521),1,8,"08,12,20",TuThSa,9:00AM,9:50AM,TBA,Basavadatta Mitra,HEL
58,HSS     F346 - INTERNATIONAL RELATIONS,L1-LEC (1673),1,11,"11,12,20",MoWeFr,4:00PM,5:00PM,TBA,Rudra Prasad Pradhan,HEL
59,HSS     F347 - INTRO TO CARNATIC MUSIC,L1-LEC (1684),1,4,"04,12,20",MoWeFr,12:00PM,1:00PM,TBA,Reena Cheruvalath,HEL
60,GS     F212 - ENVIRON DEV & CLIMATE CH,L1-LEC (1518),1,14,"14,12,20",MoWeFr,3:00PM,4:00PM,TBA,RAJIV KUMAR CHATURVEDI,HEL
61,GS     F332 - CONTEMPORARY INDIA,L1-LEC (1528),1,11,"11,12,20",MoWeFr,4:00PM,5:00PM,TBA,SAYANTANI SARKAR .,HEL
62,GS     F322 - CRITI ANAL OF LIT & CINE,L1-LEC (1520),1,2,"02,12,20",TuThSa,12:00PM,1:00PM,TBA,GEETHA B.,HEL
63,GS     F245 - EFFECTIVE PUBLIC SPEAK,L1-LEC (1523),1,4,"04,12,20",MoWeFr,12:00PM,1:00PM,TBA,Shalini Upadhyay,HEL
64,GS     F233 - PUBLIC POLICY,L1-LEC (1525),1,8,"08,12,20",TuThSa,11:00AM,12:00PM,TBA,RAJIV KUMAR CHATURVEDI,HEL
65,GS     F231 - DYN OF SOCIAL CHANGE,L1-LEC (1524),1,2,"02,12,20",TuThSa,12:00PM,1:00PM,TBA,MOHAN KUMAR BERA .,HEL
66,GS     F234 - DEVELOPMENT ECONOMICS,L1-LEC (1526),1,4,"04,12,20",MoWeFr,12:00PM,1:00PM,TBA,Rudra Prasad Pradhan,HEL
67,HSS     F349 - ECOCRITICISM,L1-LEC (1683),1,2,"02,12,20",TuThSa,12:00PM,1:00PM,TBA,RAYSON ALEX,HEL
68,GS     F221 - BUSINESS COMMUNICATION,L1-LEC (1519),1,2,"02,12,20",TuThSa,12:00PM,1:00PM,TBA,Shalini Upadhyay,HEL
69,PHY     F315 - THEORY OF RELATIVITY,L1-LEC (1652),1,4,"04,12,20",MoWeFr,12:00PM,1:00PM,TBA,Prasanta Kumar Das,DEL
70,PHY     F215 - INTRO TO ASTRO & ASTROPH,L1-LEC (1651),1,15,"15,12,20",MoWe,6:00PM,6:50PM,TBA,Tarun Kumar Jha,DEL
